NEKK_COD,NEKK_BEZ,LIMNEK_COD,LIMNEK_BEZ,KNG_COD,KNG_BEZ,NEKK_LBL,B_JAHR,B_GRUNDLAGE,SHAPE.AREA,SHAPE.LEN
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,3285.65659318,341.725908480247
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),20.477593,53.77026218484419
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,54932.5185257,1901.54872781955
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH,20883.721580395002,1044.10774838325
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH (Einzelfall),7200.66978591,380.338127129153
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,279.24637353,243.703712348892
7,7 - Gutes bis mässig gutes Wies- und Weideland,F,Fremdnässe,1,1 - Ackerbaugebiet,7F,1988-97,BoKa-ZH,6050.675329365,320.85797833379604
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,305548.678766415,4902.08648867151
4,4 - Getreidebetonte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,4G,2009,FFF-Revision 09 (BoKa-ZH),8750.73601754,745.818097062691
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,7190.60919669,568.735183964702
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,24373.827746755,717.319686841952
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),9341.007116795,678.952942170037
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,79200.963939915,1993.26055249734
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,6891.957288435,398.780078453185
9,9 - Extensives Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,9N,1988-97,BoKa-ZH,19584.08838781,973.2474295141
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),10087.5746209,915.79265208212
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,368.12772884,78.31660849771701
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),5286.64233411,549.523044731601
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,27961.25438859,1087.15374962291
2-5,Bereich 2-5,kA,keine Angabe,2,2 - Übergangsgebiet ackerbaubetont,2-5,2009,FFF-Revision 09,2251.7229229050004,742.619351396808
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,3491.3411084450004,237.662621151685
7,7 - Gutes bis mässig gutes Wies- und Weideland,A,Bodenart,3,3 - Übergangsgebiet futterbaubetont,7A,1988-97,BoKa-ZH,11488.5649972,549.123952205457
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,2,2 - Übergangsgebiet ackerbaubetont,6,2009,FFF-Revision 09,442.91478639,95.3341586610522
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),513.87291537,144.09717346414402
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,27855.17018107,665.1107941079721
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,313.816039295,219.39024491122703
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH,95955.47532497,3982.1099000736303
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),2062.380272085,209.466195775046
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,2,2 - Übergangsgebiet ackerbaubetont,7L,1988-97,BoKa-ZH (Einzelfall),3667.727202125,307.99698715340304
5,5 - Futterbaubetonte Fruchtfolge,E,Erosion,3,3 - Übergangsgebiet futterbaubetont,5E,1988-97,BoKa-ZH,5446.3773139,317.368670131567
5,5 - Futterbaubetonte Fruchtfolge,B,Klimatisches Nutzungsgebiet,3,3 - Übergangsgebiet futterbaubetont,5B,1988-97,BoKa-ZH,22164.30465794,781.362731770537
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1756.00791155,725.88697950102
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,7N,1988-97,BoKa-ZH,18269.400826775003,1006.1862709631502
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,15774.51319604,1049.48784719039
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,53687.608016695,2939.4233516046297
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,7428.276472315,347.068977922835
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH,10820.929567375,463.003131626095
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,31928.66817033,1172.84738192454
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",F,Fremdnässe,1,1 - Ackerbaugebiet,6F,1988-97,BoKa-ZH,8859.4118365,404.712440845552
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),6219.1334561,527.515921906312
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,4,4 - Futterbaugebiet,7N,1988-97,BoKa-ZH,15310.243423435,1130.0066528402901
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,7N,2009,FFF-Revision 09 (BoKa-ZH),7700.586256275,433.35247127953204
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,1,1 - Ackerbaugebiet,5L,1988-97,BoKa-ZH (Einzelfall),3352.61794426,324.940342147576
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,9913.999131954999,547.111868463532
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),4172.993387445,609.2281112083721
7,7 - Gutes bis mässig gutes Wies- und Weideland,A,Bodenart,3,3 - Übergangsgebiet futterbaubetont,7A,1988-97,BoKa-ZH,18558.132114655,687.516812964067
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,3,3 - Übergangsgebiet futterbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),10.3132988,20.099070772625396
7,7 - Gutes bis mässig gutes Wies- und Weideland,G,Nutzbarer Wurzelraum (Gründigkeit),3,3 - Übergangsgebiet futterbaubetont,7G,1988-97,BoKa-ZH (Einzelfall),11204.51530109,554.6351105799531
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,1.12452691,25.832136356431
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,1,1 - Ackerbaugebiet,5L,1988-97,BoKa-ZH (Einzelfall),11183.49159454,515.2852836355901
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,1,1 - Ackerbaugebiet,5L,1988-97,BoKa-ZH (Einzelfall),23221.692952985,845.186596636086
5,5 - Futterbaubetonte Fruchtfolge,B,Klimatisches Nutzungsgebiet,3,3 - Übergangsgebiet futterbaubetont,5B,1988-97,BoKa-ZH,24528.510359155003,666.891721026007
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,28224.833906915002,1449.2859847203301
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,32267.52892307,1252.25543088186
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),1872.8954046350002,323.617907779951
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,A,Bodenart,1,1 - Ackerbaugebiet,2A,1988-97,BoKa-ZH,10895.8329595,524.3507275511611
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,358892.53034938505,7645.65077109567
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,393.375743895,176.89110827916
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09,170.21882128500002,74.6539322376679
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),164.4955529,69.148451482452
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,1,1 - Ackerbaugebiet,5L,1988-97,BoKa-ZH (Einzelfall),3003.51506171,225.74514300613401
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,70952.46130284501,1401.51344228883
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09,30.076479,128.231056563999
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,3674.5156659450004,391.24582481402905
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1699.627365645,279.736545077407
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,548.2995726,475.318698605098
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH,35532.59442404,1705.7087682102201
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,2G,1988-97,BoKa-ZH,43572.25014171,923.547672291096
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,1410.75852485,585.755467557147
5,5 - Futterbaubetonte Fruchtfolge,E,Erosion,1,1 - Ackerbaugebiet,5E,1988-97,BoKa-ZH,46966.71649496,1676.95159431875
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,20756.662800675,1067.3803338822001
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,2276.56266515,203.793721669509
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,15845.252164315,574.296131428277
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,8436.64811843,634.0165474146571
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,28834.150895705003,887.0333429145761
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH,19508.471758215,774.50357008926
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,132060.818607705,2730.12573132034
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,Z,Zustand Gefüge,1,1 - Ackerbaugebiet,2Z,1988-97,BoKa-ZH (Einzelfall),22319.424374185,984.361869697669
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),3585.023085795,1216.0509307908198
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),11777.705923735,1171.30030342603
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",N,Hangneigung,1,1 - Ackerbaugebiet,6N,1988-97,BoKa-ZH,10501.51233544,1036.3130788944302
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),396.4623595,141.762903382414
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,3044.38131279,308.44829890143603
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,5N,1988-97,BoKa-ZH,255.61320405,82.86464246876889
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,7N,1988-97,BoKa-ZH,41350.981148965,1585.96115954253
9,9 - Extensives Wies- und Weideland,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,9N,2009,FFF-Revision 09 (BoKa-ZH),6109.33919259,382.69404517169903
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),5008.519823515,630.301743434336
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,7N,1988-97,BoKa-ZH,3717.30012545,350.370547607167
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH,213092.49920842,4180.44930616028
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,7N,2009,FFF-Revision 09 (BoKa-ZH),11347.83646365,606.6859402468081
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,155.14564899500002,185.91247645398101
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),23514.467580655,679.8000833750141
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,2G,1988-97,BoKa-ZH (Einzelfall),33283.631978645,957.771111931817
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),7613.4988646,1061.88992953989
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),7508.00570945,819.5454700254901
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),74408.14483913,2543.9596579122103
2-5,Bereich 2-5,kA,keine Angabe,2,2 - Übergangsgebiet ackerbaubetont,2-5,2009,FFF-Revision 09,3105.93666949,353.040606776692
4,4 - Getreidebetonte Fruchtfolge 2. Güte,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,4N,2009,FFF-Revision 09 (BoKa-ZH),21649.393399714998,1030.47449632024
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),16610.9581841,723.795392488669
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,438.494629,103.463247246191
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),7182.61913085,454.60913150511
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),139.5780855,60.9304990342498
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,5345.63346683,424.317077746603
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,840.652555,563.348659783999
