NEKK_COD,NEKK_BEZ,LIMNEK_COD,LIMNEK_BEZ,KNG_COD,KNG_BEZ,NEKK_LBL,B_JAHR,B_GRUNDLAGE,SHAPE.AREA,SHAPE.LEN
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),567.58716769,114.428555714071
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,1906.9944181,185.617541481904
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),2577.256884855,503.92601701052104
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,28331.245799925,717.714126139991
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",I,Staunässe,1,1 - Ackerbaugebiet,6I,1988-97,BoKa-ZH,19519.90646294,749.44279182493
9,9 - Extensives Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,9N,1988-97,BoKa-ZH,5895.45119271,656.731551926371
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,27617.248064095,1000.6026186925301
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH,35270.65773775,1031.55071711265
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH,9296.87005465,442.069340693261
1,1 - Uneingeschränkte Fruchtfolge 1. Güte,,,1,1 - Ackerbaugebiet,1,1988-97,BoKa-ZH,11556.26930636,985.753489524454
1,1 - Uneingeschränkte Fruchtfolge 1. Güte,,,1,1 - Ackerbaugebiet,1,1988-97,BoKa-ZH,27498.29217745,1599.06196951039
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,1,1 - Ackerbaugebiet,7L,1988-97,BoKa-ZH (Einzelfall),35930.924916615,770.903646865482
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",F,Fremdnässe,1,1 - Ackerbaugebiet,6F,1988-97,BoKa-ZH,14180.80563763,470.308280559457
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",I,Staunässe,1,1 - Ackerbaugebiet,6I,1988-97,BoKa-ZH,13355.983778,475.33398048027306
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,799.51590719,505.70362109792904
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,192.60608636,113.57224878261201
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,4807.070904554999,463.653007013651
5,5 - Futterbaubetonte Fruchtfolge,I,Staunässe,1,1 - Ackerbaugebiet,5I,1988-97,BoKa-ZH (Einzelfall),19319.55884395,647.358550846439
7-10,Bereich 7-10,kA,keine Angabe,1,1 - Ackerbaugebiet,7-10,2009,FFF-Revision 09,1375.8939256350002,363.978753489937
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,1,1 - Ackerbaugebiet,7L,1988-97,BoKa-ZH (Einzelfall),4197.41010294,506.845933496607
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,215.7319335,120.72800784497201
2-5,Bereich 2-5,kA,keine Angabe,2,2 - Übergangsgebiet ackerbaubetont,2-5,2009,FFF-Revision 09,700.2607742,177.935344983068
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,5373.79253495,298.205580434929
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH (Einzelfall),9466.067603385,601.6007561171241
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,7393.012117465,390.898340208143
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",L,Lage im Relief,1,1 - Ackerbaugebiet,6L,1988-97,BoKa-ZH,22262.884902755002,680.050810951461
3,3 - Getreidebetonte Fruchtfolge 1. Güte,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,3N,2009,FFF-Revision 09 (BoKa-ZH),46874.399735105,888.063925633406
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),1978.54098885,531.370156779361
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,182.799392835,349.566350013887
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,3761.1135725550002,290.18338606009604
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",L,Lage im Relief,3,3 - Übergangsgebiet futterbaubetont,6L,1988-97,BoKa-ZH (Einzelfall),15972.78984362,568.93116139721
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH (Einzelfall),13916.734319125,510.49940352229606
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,403.93252583,109.547543133825
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,501.34426147,289.763199270867
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,52956.93765146,1643.9151499027203
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),1874.5417345,170.199180289843
