NUMMER,AUSGESCHALTET_TXT,BELEUCHTUNGSTYP_TXT,BAUART_TXT,E,N
104,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686198.093,1251656.96
106,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686237.649,1251698.499
116,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686286.432,1251728.736
119,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686302.096,1251801.991
120,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686307.652,1251828.846
9,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686313.657,1251930.041
1,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686236.322,1252121.756
21,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686265.866,1252247.979
1,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2686311.478,1252184.354
31,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686074.376,1252381.734
1,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686168.072,1252367.656
5106,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686618.617,1244953.829
5101,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Queraufhängung,2686529.315,1245058.872
11,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Aluminium,2686568.803,1252179.917
13,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Aluminium,2686633.292,1252184.131
55,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684602.04,1252628.055
50,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684648.629,1252588.824
49,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684653.839,1252597.565
13,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684396.874,1252883.025
80,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684412.642,1252732.596
10,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684412.893,1252839.615
78,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684418.621,1252714.786
19,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684425.834,1252934.105
22,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684439.804,1252960.685
20,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684450.184,1252934.875
69,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684494.85,1252652.395
67,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684513.371,1252681.445
61,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684550.9,1252658.185
26,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684456.235,1252992.494
29,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684471.715,1253021.994
27,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684475.874,1252984.144
39,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684527.365,1253082.804
53,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684577.707,1253224.513
59,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684604.378,1253268.412
55,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684608.177,1253203.852
67,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684649.797,1253271.622
68,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684654.447,1253266.872
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684465.485,1253675.57
7,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684468.763,1253701.983
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684496.715,1253699.747
14,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684630.404,1253856.94
36,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684748.819,1252503.134
34,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684763.259,1252513.724
31,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684786.519,1252521.994
29,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684805.919,1252496.104
14,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684926.829,1252424.883
86,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684730.688,1253363.131
