LENGTH,STRASS_ID,RICHTPLANT,STRADATNAM,UNTERHALT,EIGENTUM,STRASSTYP,UREG_TEXT,JAHR,SHAPE.LEN
199.87871915,4816,30,30069,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,199.87869187853101
62.53760322,4904,30,30089,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,62.5376003069101
294.64790124,4898,30,30023,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,294.647851227273
532.59251764,4887,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,532.5925176389339
284.05881613,1203,23,1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,284.058781707535
639.33718641,4840,23,30071,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,639.337216741383
280.1565824,4792,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,280.156527054645
332.03037405,4791,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,332.03046213506207
180.92117053,4835,23,30071,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,180.921124059066
26.76628,4833,23,30071,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,26.7663262061419
325.27764363,4787,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,325.277608648141
258.52284071,1212,23,1.1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,258.52283168997604
240.40981341,4798,23,1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,240.40986341724903
500.77383568,4828,23,295,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,500.7738358551841
762.97855485,690,10,10111,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,762.97855146401
355.61249932,24611,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,355.612524139507
778.81852498,4574,30,30035,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,778.818547019498
307.00161342,6536,10,10101,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,307.001661091269
296.71982489,6539,10,10010,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,296.719802611061
608.8025998,4622,23,17,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,608.802600399537
320.15513988,818,12,16037,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,320.155119618686
