GEMEINDE,ORT,PLZ,STRASSE,ENSEMBLE,OBJEKT,GVZ_NR,BAUJAHR,EINSTUFUNG,FESTSETZUNG,ERLASS,SCHUTZ,GRUNDBUCHEINTRAG,OST,NORD,E,N
Zürich,Zürich,8001,Pelikanstrasse 40; Talstrasse 71,"Zürich: Alter Botanischer Garten, Garten- und Bauensemble; Zürich: Ehem. Botanischer Garten, mit Schanzenmauern/ Bollwerk Zur Katz, Gewächshäusern, Sammlungsgebäuden (Völkerkundemuseum), Gartenbauelementen (Terrasse, Pergola, Denkmäler...) und Pflanzenbes","Völkerkundemuseum, Sammlungsgebäude",28101568,1863,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682783.89115719,1247263.83409562,2682783.891,1247263.834
Zürich,Zürich,8001,Pelikanplatz 5; Talacker 29; Talacker 29a,"Zürich: Ehem. Botanischer Garten, mit Schanzenmauern/ Bollwerk Zur Katz, Gewächshäusern, Sammlungsgebäuden (Völkerkundemuseum), Gartenbauelementen (Terrasse, Pergola, Denkmäler...) und Pflanzenbestand",Haus zum Grossen Pelikan,28101236,1675,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682895.89216794,1247264.83417262,2682895.892,1247264.834
Zürich,Zürich,,Stampfenbachstrasse 31; Stampfenbachstrasse 35; Walcheplatz 2; Walchestrasse 6,"Zürich: Kantonale Verwaltung, Zentralverwaltung",Walcheturm/Walchetor,28101144,,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683430.89598301,1248133.83453983,2683430.896,1248133.835
Zürich,Zürich,8006,Beckenhofstrasse 35 bei,Zürich: Beckenhof,Brunnen,,1700,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683246.90264034,1248840.83901019,2683246.903,1248840.839
Zürich,Zürich,8006,Beckenhofstrasse 27,Zürich: Beckenhof,Gartenpavillon um 1740,27600295,1735,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683266.90183691,1248759.83848173,2683266.902,1248759.839
Zürich,Zürich,8001,Limmatquai 31,,Wasserkirche und Helmhaus,28101163,,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683436.89719419,1247146.83454461,2683436.897,1247146.835
Zürich,Zürich,8001,Grossmünsterplatz 4; Zwingliplatz 7,"Zürich: Kirche, ref. Grossmünster","Kirche, ref. Grossmünster",28101164,,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683489.89764257,1247172.83458103,2683489.898,1247172.835
Zürich,Zürich,8001,Waldmannstrasse 8; Waldmannstrasse 8a,Zürich: Überbauung Heinrich Ernst 1883/1889 Rämistrasse,Geschäftshaus,28100970,1886,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683684.89959311,1247011.83471519,2683684.9,1247011.835
Zürich,Zürich,8001,Neumarkt 5,"Zürich: Neumarkttheater/Zunfthaus Zur Schuhmachern; Zürich: Zunfthaus ?Zur Schuhmachern? mit Bilgeriturm, Haus Zum Adlerberg",Theater/Bilgeriturm,28100316,1742,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683616.89846179,1247452.83466815,2683616.898,1247452.835
Zürich,Zürich,8001,Florhofgasse 12,Zürich: Rechberg,Gewächshaus,28100886,1889,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683804.90011583,1247490.83479737,2683804.9,1247490.835
Zürich,Zürich,8001,Rämistrasse 59,Zürich: alte Kantonsschule,"Alte Kantonsschule, heute  Pädagogische Hochschule Zürich",28100776,,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683960.90164016,1247392.83490468,2683960.902,1247392.835
Zürich,Zürich,8006,Gloriastrasse 17; Gloriastrasse 19; Gloriastrasse 17a,Zürich: Kantonsspital USZ,Ehem. Anantomie,26600122,,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2684063.90213822,1247761.83497524,2684063.902,1247761.835
Zürich,Zürich,8006,Weinbergstrasse 32,,Kath. Liebfrauenkirche,27600519,1894,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,PD,19840117,2683535.89681095,1248236.83461194,2683535.897,1248236.835
Zürich,Zürich,8006,Schmelzbergstrasse 10,Zürich: Kantonsspital USZ,Gebäude Schmelzbergstrasse 10. Aufnahmetrakt,26601383,1949,kantonal,19810812,"RRB Nr. 3048/1981 Liste Stadt Zürich, nur Kernbau von 1949 ohne nachträgliche Erweitertungen",-,,2683988.90124022,1247949.83492356,2683988.901,1247949.835
Zürich,Zürich,8008,Mühlebachstrasse 169,"Zürich: Villa Patumbah; Zürich: Villa Patumbah mit Ökonomiegebäude, Zwischentrakt, Pavillon und Gartenanlage",Pavillon,27300188,1890,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,ÖREB,20060321,2684681.89495523,1245670.82223524,2684681.895,1245670.822
Zürich,Zürich,8008,Zollikerstrasse 130,"Zürich: Villa Patumbah; Zürich: Villa Patumbah mit Ökonomiegebäude, Zwischentrakt, Pavillon und Gartenanlage",Remise / Ökonomiegebäude,27302925,1883,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,ÖREB,20060321,2684719.89525803,1245705.82189442,2684719.895,1245705.822
Zürich,Zürich,8008,Kreuzbühlstrasse 34,"Zürich: Herrschaftssitz «Zum Schönbühl» mit Villa, Nebengebäuden und Park",Ökonomiegebäude I,27300519,1854,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,ÖREB,19820316,2684114.90374112,1246656.83472209,2684114.904,1246656.835
Zürich,Zürich,8008,Kreuzbühlstrasse 36,"Zürich: Herrschaftssitz «Zum Schönbühl» mit Villa, Nebengebäuden und Park",Gartenanlage,,1838,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,ÖREB,19820316,2684118.90379028,1246612.83465212,2684118.904,1246612.835
Zürich,Zürich,,Gloriastrasse 12; Gloriastrasse 12a; Plattenstrasse 11,Zürich: Universität Zürich; Zürich: Zahnärztliches Institut der Universität Zürich?(seit 1994: Zentrum für Zahnmedizin ZZM),Hauptgebäude von 1960,26600763,1960,regional,,,-,,2684161.90251845,1247687.83392599,2684161.903,1247687.834
Zürich,Zürich,8032,Dolderstrasse 58,Zürich: ref. Kirchgemeinde Hottingen,Kreuzkirche,26901080,1902,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2684831.90272986,1247215.8223224,2684831.903,1247215.822
Opfikon,Glattbrugg,8152,Oberhauserstrasse 49,Opfikon: Oberstufenschulanlage Halden,Schultrakt A3 Sekundarschule von 1952/54,6600743,1952,regional,,,-,,2685253.94236581,1253915.82542158,2685253.942,1253915.825
Opfikon,Glattbrugg,8152,Oberhauserstrasse 49,Opfikon: Oberstufenschulanlage Halden,Schultrakt A4 Spezialtrakt von 1952/54,6600743,1952,regional,,,-,,2685277.94250249,1253938.82518339,2685277.942,1253938.825
Opfikon,Glattbrugg,8152,Oberhauserstrasse 55,Opfikon: Oberstufenschulanlage Halden,Trakt C/Schulpavillon 2 von 1955,6600868,1955,regional,,,-,,2685334.94185787,1253890.82491887,2685334.942,1253890.825
Zürich,Zürich,8008,Lenggstrasse 47 bei,"Zürich: Psychiatrische Klinik Burghölzli; Zürich: Psychiatrische Universitätsklinik PUK (Kantonale Heilanstalt Burghölzli) mit drei Ökonomiegebäuden ?(ehem. Holz- und Kohlenlager, Tierstallungen, Heubühnen, Pferdestallungen, Metzgerei), Wirtschaftstrakt u",Wagenschopf 1873,,1873,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2685459.8887457,1245409.80744745,2685459.889,1245409.807
Zürich,Zürich,8055,,Zürich/Uitikon/Schlieren: Sperrstelle 5053,Kleinunterstand A04960,,1,kantonal,,,-,,2678840.88653489,1246289.85537747,2678840.887,1246289.855
Zürich,Zürich,8055,,Zürich/Uitikon/Schlieren: Sperrstelle 5053,Kleinunterstand A04965,,1,kantonal,,,-,,2679450.88579402,1245639.85395248,2679450.886,1245639.854
Zürich,Zürich,8003,Albisriederstrasse 51,"Zürich: Friedhof Sihlfeld A, B, C, D und E mit Hochbauten, Gartenanlage und Grabmäler bedeutender Persönlichkeiten",Ehem. Krematorium Sihlfeld D,27701860,1915,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2680475.9022449,1247760.85531538,2680475.902,1247760.855
Zürich,Zürich,8003,Aemtlerstrasse 149; Aemtlerstrasse 151,"Zürich: Friedhof Sihlfeld A, B, C, D und E mit Hochbauten, Gartenanlage und Grabmäler bedeutender Persönlichkeiten",Eingangsgebäude Friedhof Sihlfeld,27700411,1878,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2680947.90058195,1247782.85041938,2680947.901,1247782.85
Zürich,Zürich,8005,,Zürich: Sperrstelle 6090,Infanteriewerk A04862,,1,regional,,,-,,2681380.90826869,1248774.85034185,2681380.908,1248774.85
Zürich,Zürich,8002,Tessinerplatz 12a; Tessinerplatz 12b,Zürich: Bahnhofanlage Zürich-Enge; Zürich: Bahnhof Zürich-Enge mit Aufnahmegebäude und Perronanlage,Perronanlage,26501567,1925,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682495.88766966,1246468.83661031,2682495.888,1246468.837
Zürich,Zürich,8002,Gablerstrasse 3; Gablerstrasse 3a,Zürich: Rietberg Museum Ensemble mit Parkanlage,Gewächshaus,26500097,1857,kantonal,,,-,,2682514.88572122,1245963.83716761,2682514.886,1245963.837
Zürich,Zürich,8002,Tessinerplatz 10; Tessinerplatz 12,Zürich: Bahnhofanlage Zürich-Enge,Tunnelportal Süd,,1875,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682527.88709392,1246335.83647601,2682527.887,1246335.837
Zürich,Zürich,8002,Brandschenkestrasse 129; Brandschenkestrasse 135; Gutenbergstrasse 15; Steinentischstrasse 10; Steinentischstrasse 6; Steinentischstrasse 8,"Zürich: Kantonsschule Freudenberg; Zürich: Kantonsschule Freudenberg, Schulgebäude und Aula",Schulgebäude,26500501,1959,kantonal,,,-,,2682337.88865065,1246631.83801164,2682337.889,1246631.838
Zürich,Zürich,8002,Parkring 37,Zürich: Kantonsschule Freudenberg,Abwartswohnhaus,26500114,1962,kantonal,,,-,,2682408.88859918,1246661.83722755,2682408.889,1246661.837
Zürich,Zürich,8001,Pelikanstrasse 40; Pelikanstrasse 42,"Zürich: Alter Botanischer Garten, Garten- und Bauensemble; Zürich: Ehem. Botanischer Garten, mit Schanzenmauern/ Bollwerk Zur Katz, Gewächshäusern, Sammlungsgebäuden (Völkerkundemuseum), Gartenbauelementen (Terrasse, Pergola, Denkmäler...) und Pflanzenbes","Grosses Gewächshaus, heute Institutsgebäude",28101577,,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682760.89098338,1247234.83407983,2682760.891,1247234.834
Zürich,Zürich,8004,Kasernenstrasse 49; Militärstrasse 3,Zürich: Kasernenareal,Hauptgebäude,26400730,1873,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682647.89521035,1247759.83694825,2682647.895,1247759.837
Zürich,Zürich,8004,Kanonengasse 18,"Zürich: Kasernenareal; Zürich: Zeughäuser 1, 2, und 5",Zeughaus 1,26400567,1866,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682391.89815933,1247979.83954593,2682391.898,1247979.839
Zürich,Zürich,8001,Münsterhof 8,,Zunfthaus Zur Waag,28101251,,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,PD,20041117,2683211.89512263,1247179.83438991,2683211.895,1247179.834
Zürich,Zürich,8001,Lindenhofstrasse 3,,Haus «Zum Schütz»,28101522,1,-,,,ÖREB,20160706,2683224.89481927,1247538.83439861,2683224.895,1247538.834
Zürich,Zürich,8006,Beckenhofstrasse 33,Zürich: Beckenhof,Kleines Herrenhaus um 1730,27600282,1725,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683267.90245274,1248828.83882794,2683267.903,1248828.839
Zürich,Zürich,8008,Höschgasse 4,,Villa Egli,27301550,1898,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683979.89378719,1245619.8301476,2683979.894,1245619.83
Zürich,Zürich,8001,Kirchgasse 11; Kirchgasse 13; Zwingliplatz 4; Zwingliplatz 5; Kirchgasse 15,Zürich: Helferei Grossmünster,Grossmünsterkapelle,28100178,1858,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,ÖREB,20150518,2683547.89814315,1247192.83462089,2683547.898,1247192.835
Zürich,Zürich,8001,Rämistrasse 27,Zürich: Überbauung Heinrich Ernst 1883/1889 Rämistrasse,Geschäftshaus,28100973,1886,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683732.90003734,1247002.8347482,2683732.9,1247002.835
Zürich,Zürich,8001,Rämistrasse 33,Zürich: Überbauung Heinrich Ernst 1883/1889 Rämistrasse,Geschäftshaus,28100963,1885,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,ÖREB,20170927,2683753.90019191,1247032.83476261,2683753.9,1247032.835
Zürich,Zürich,8001,Stadelhoferstrasse 6a,Zürich: Bahnhofanlage SBB Station Zürich Stadelhofen,Neubauten Calatrava,28101033,,kantonal,,,-,,2683828.90113563,1246805.83481433,2683828.901,1246805.835
Zürich,Zürich,8001,Schanzengasse 20,Zürich: Villa Falkenstein,Hauptgebäude,26900373,1866,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,PD,19810715,2683961.90223061,1246896.8349057,2683961.902,1246896.835
