Jahr,X_WGS84,Y_WGS84,Betriebsname,StrasseLang,HNr,PLZ,Ort,StatZoneSort,StatZoneLang,QuarSort,QuarLang,KreisSort,KreisLang,Oeffnungszeit,Betriebsart,Betriebsstatus,EKoord,NKoord,AnzBetriebe
2017,8.52956619732094,47.3825347202484,Lily's,Langstrasse,197,8005,Zürich,5102,Quellenstrasse,51,Gewerbeschule,5,Kreis 5,,Gastwirtschaft,Offen,2682378.902,1248539.237,1
2017,8.52503336472311,47.3751976067702,SO,Langstrasse,20,8004,Zürich,4204,Bezirksgebäude,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682047.935,1247718.81,1
2017,8.53008329616795,47.3826993219109,New Point,Langstrasse,206,8005,Zürich,5105,Ackerstrasse,51,Gewerbeschule,5,Kreis 5,0400/frei,Gastwirtschaft,Offen,2682417.692,1248558.079,1
2017,8.52968473499556,47.3831624934119,Casa Aurelio,Langstrasse,209,8005,Zürich,5102,Quellenstrasse,51,Gewerbeschule,5,Kreis 5,0400/frei,Gastwirtschaft,Offen,2682386.882,1248609.152,1
2017,8.52464628895923,47.3752665330928,Café Bar Brick,Langstrasse,21,8004,Zürich,4203,Wengi,42,Langstrasse,4,Kreis 4,02:00/04:00,Gastwirtschaft,Offen,2682018.598,1247726.068,1
2017,8.53001276643252,47.3830463086532,B. good,Langstrasse,211,8005,Zürich,5102,Quellenstrasse,51,Gewerbeschule,5,Kreis 5,,Gastwirtschaft,Offen,2682411.83,1248596.58,1
2017,8.53031032022376,47.3829636478458,Riviera,Langstrasse,212,8005,Zürich,5105,Ackerstrasse,51,Gewerbeschule,5,Kreis 5,,Gastwirtschaft,Offen,2682434.425,1248587.703,1
2017,8.53010977580516,47.3831405963562,Imbiss,Langstrasse,213,8005,Zürich,5102,Quellenstrasse,51,Gewerbeschule,5,Kreis 5,,Ausgabestelle,Offen,2682419.009,1248607.164,1
2017,8.53010977580516,47.3831405963562,Thali House,Langstrasse,213,8005,Zürich,5102,Quellenstrasse,51,Gewerbeschule,5,Kreis 5,0400/frei,Gastwirtschaft,Offen,2682419.009,1248607.164,1
2017,8.53018872926106,47.3832546998773,Cinque,Langstrasse,215,8005,Zürich,5102,Quellenstrasse,51,Gewerbeschule,5,Kreis 5,,Gastwirtschaft,Offen,2682424.794,1248619.932,1
2017,8.53073579369954,47.3838780985402,Samses,Langstrasse,231,8005,Zürich,5102,Quellenstrasse,51,Gewerbeschule,5,Kreis 5,,Gastwirtschaft,Offen,2682465.136,1248689.811,1
2017,8.53092859861358,47.3841008565177,Mata Hari,Langstrasse,237,8005,Zürich,5102,Quellenstrasse,51,Gewerbeschule,5,Kreis 5,0400/frei,Gastwirtschaft,Offen,2682479.349,1248714.778,1
2017,8.53112406963847,47.3839276965828,Burgermeister,Langstrasse,238,8005,Zürich,5105,Ackerstrasse,51,Gewerbeschule,5,Kreis 5,,Kleinwirtschaft,Offen,2682494.376,1248695.733,1
2017,8.53111394787619,47.3843571734322,Kornhaus,Langstrasse,243,8005,Zürich,5102,Quellenstrasse,51,Gewerbeschule,5,Kreis 5,,Gastwirtschaft,Offen,2682492.947,1248743.468,1
2017,8.5249463690522,47.3756903137972,Metzg,Langstrasse,31,8004,Zürich,4203,Wengi,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682040.607,1247773.494,1
2017,8.52506710849456,47.3758240420376,Celia,Langstrasse,35,8004,Zürich,4203,Wengi,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682049.519,1247788.487,1
2017,8.52457668163736,47.3745655144797,Colosseum,Langstrasse,6,8004,Zürich,4204,Bezirksgebäude,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682014.42,1247648.062,1
2017,8.52613100819447,47.3767365519877,Kir Royal,Langstrasse,62,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,0200/frei,Gastwirtschaft,Offen,2682128.455,1247891.045,1
2017,8.52579552287783,47.3768727385403,Gotthard,Langstrasse,63,8004,Zürich,4202,Bäckeranlage,42,Langstrasse,4,Kreis 4,0400/Frei,Gastwirtschaft,Offen,2682102.911,1247905.834,1
2017,8.52591068970067,47.3770323163218,Leeward,Langstrasse,65,8004,Zürich,4202,Bäckeranlage,42,Langstrasse,4,Kreis 4,"So-Do-Nacht 0400, Fr./Sa-Nacht 0500",Gastwirtschaft,Offen,2682111.362,1247923.695,1
2017,8.52597342011333,47.3771199949081,Acid,Langstrasse,67,8004,Zürich,4202,Bäckeranlage,42,Langstrasse,4,Kreis 4,0200/frei,Gastwirtschaft,Offen,2682115.964,1247933.508,1
2017,8.52665236834716,47.3776075237675,"""im 4i""",Langstrasse,80,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,0400/Frei,Gastwirtschaft,Offen,2682166.483,1247988.418,1
2017,8.52665236834716,47.3776075237675,EL Presidente,Langstrasse,80,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,0400/frei,Gastwirtschaft,Offen,2682166.483,1247988.418,1
2017,8.52638121875703,47.377693452969,Olif,Langstrasse,81,8004,Zürich,4202,Bäckeranlage,42,Langstrasse,4,Kreis 4,0400/frei,Gastwirtschaft,Offen,2682145.875,1247997.687,1
2017,8.52645303749398,47.3778097940885,Below 83,Langstrasse,83,8004,Zürich,4202,Bäckeranlage,42,Langstrasse,4,Kreis 4,0400/frei,Gastwirtschaft,Offen,2682151.119,1248010.696,1
2017,8.52645303749398,47.3778097940885,Chickeria,Langstrasse,83,8004,Zürich,4202,Bäckeranlage,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682151.119,1248010.696,1
2017,8.52689767867443,47.3780371043282,Bäck Sandwich Shop,Langstrasse,88,8004,Zürich,4206,Kaserne,42,Langstrasse,4,Kreis 4,0400/Frei,Gastwirtschaft,Offen,2682184.345,1248036.432,1
2017,8.5269539857653,47.3781200754833,Longstreet,Langstrasse,92,8004,Zürich,4206,Kaserne,42,Langstrasse,4,Kreis 4,0400/frei,Gastwirtschaft,Offen,2682188.469,1248045.715,1
2017,8.5269539857653,47.3781200754833,Palestine Grill,Langstrasse,92,8004,Zürich,4206,Kaserne,42,Langstrasse,4,Kreis 4,,Ausgabestelle,Offen,2682188.469,1248045.715,1
2017,8.52665821438694,47.3781430106329,Bagatelle,Langstrasse,93,8004,Zürich,4201,Schöneggplatz,42,Langstrasse,4,Kreis 4,täglich 0400 Uhr,Gastwirtschaft,Offen,2682166.099,1248047.955,1
2017,8.52717247992229,47.3781675349155,Piranha Bar,Langstrasse,94,8004,Zürich,4206,Kaserne,42,Langstrasse,4,Kreis 4,0400/Frei,Gastwirtschaft,Offen,2682204.895,1248051.22,1
2017,8.52675437362181,47.3783364982438,Aladin,Langstrasse,97,8004,Zürich,4201,Schöneggplatz,42,Langstrasse,4,Kreis 4,0400/frei,Gastwirtschaft,Offen,2682173.062,1248069.566,1
2017,8.53246672167402,47.3631466895313,Olive Garden,Lavaterstrasse,33,8002,Zürich,2403,Belvoir-Park,24,Enge,2,Kreis 2,,Gastwirtschaft,Offen,2682627.958,1246386.895,1
2017,8.53339431975694,47.3602535011378,Il Tartufo,Lavaterstrasse,87,8002,Zürich,2403,Belvoir-Park,24,Enge,2,Kreis 2,,Gastwirtschaft,Offen,2682702.511,1246066.234,1
2017,8.51554668652224,47.3307531327943,Marrakesh Cuisine,Leimbachstrasse,104,8041,Zürich,2302,Mahrbachweg,23,Leimbach,2,Kreis 2,,Gastwirtschaft,Offen,2681399.336,1242768.003,1
2017,8.51422048978113,47.326409085479,Gemeinschaftszentrum Leimbach,Leimbachstrasse,200,8041,Zürich,2303,Sihlweidstrasse,23,Leimbach,2,Kreis 2,,Gastwirtschaft,Offen,2681305.721,1242283.7,1
