"ObjectID","Datum","Standort","Velo_in","Velo_out","Fuss_in","Fuss_out"
260,2009-12-04T16:45:00,"ECO09022739",6,2,,
261,2009-12-04T17:00:00,"ECO09022739",6,3,,
262,2009-12-04T17:15:00,"ECO09022739",3,4,,
263,2009-12-04T17:30:00,"ECO09022739",5,3,,
264,2009-12-04T17:45:00,"ECO09022739",6,2,,
265,2009-12-04T18:00:00,"ECO09022739",9,5,,
266,2009-12-04T18:15:00,"ECO09022739",1,6,,
267,2009-12-04T18:30:00,"ECO09022739",3,7,,
268,2009-12-04T18:45:00,"ECO09022739",4,6,,
269,2009-12-04T19:00:00,"ECO09022739",11,9,,
270,2009-12-04T19:15:00,"ECO09022739",5,5,,
271,2009-12-04T19:30:00,"ECO09022739",12,7,,
272,2009-12-04T19:45:00,"ECO09022739",6,6,,
273,2009-12-04T20:00:00,"ECO09022739",6,6,,
274,2009-12-04T20:15:00,"ECO09022739",4,2,,
275,2009-12-04T20:30:00,"ECO09022739",4,5,,
276,2009-12-04T20:45:00,"ECO09022739",2,4,,
277,2009-12-04T21:00:00,"ECO09022739",3,0,,
278,2009-12-04T21:15:00,"ECO09022739",1,3,,
279,2009-12-04T21:30:00,"ECO09022739",5,2,,
280,2009-12-04T21:45:00,"ECO09022739",4,2,,
281,2009-12-04T22:00:00,"ECO09022739",1,1,,
282,2009-12-04T22:15:00,"ECO09022739",2,0,,
283,2009-12-04T22:30:00,"ECO09022739",0,4,,
284,2009-12-04T22:45:00,"ECO09022739",3,3,,
285,2009-12-04T23:00:00,"ECO09022739",0,2,,
286,2009-12-04T23:15:00,"ECO09022739",0,0,,
287,2009-12-04T23:30:00,"ECO09022739",1,1,,
288,2009-12-04T23:45:00,"ECO09022739",0,0,,
289,2009-12-05T00:00:00,"ECO09022739",1,1,,
290,2009-12-05T00:15:00,"ECO09022739",0,2,,
291,2009-12-05T00:30:00,"ECO09022739",0,0,,
292,2009-12-05T00:45:00,"ECO09022739",0,2,,
293,2009-12-05T01:00:00,"ECO09022739",0,5,,
294,2009-12-05T01:15:00,"ECO09022739",0,2,,
295,2009-12-05T01:30:00,"ECO09022739",0,0,,
296,2009-12-05T01:45:00,"ECO09022739",1,3,,
297,2009-12-05T02:00:00,"ECO09022739",0,0,,
298,2009-12-05T02:15:00,"ECO09022739",0,0,,
299,2009-12-05T02:30:00,"ECO09022739",0,2,,
300,2009-12-05T02:45:00,"ECO09022739",1,0,,
301,2009-12-05T03:00:00,"ECO09022739",0,0,,
302,2009-12-05T03:15:00,"ECO09022739",0,0,,
303,2009-12-05T03:30:00,"ECO09022739",0,2,,
304,2009-12-05T03:45:00,"ECO09022739",0,1,,
305,2009-12-05T04:00:00,"ECO09022739",0,2,,
306,2009-12-05T04:15:00,"ECO09022739",0,0,,
307,2009-12-05T04:30:00,"ECO09022739",0,0,,
308,2009-12-05T04:45:00,"ECO09022739",0,0,,
309,2009-12-05T05:00:00,"ECO09022739",0,0,,
310,2009-12-05T05:15:00,"ECO09022739",0,0,,
311,2009-12-05T05:30:00,"ECO09022739",0,1,,
312,2009-12-05T05:45:00,"ECO09022739",0,2,,
313,2009-12-05T06:00:00,"ECO09022739",0,0,,
314,2009-12-05T06:15:00,"ECO09022739",0,0,,
315,2009-12-05T06:30:00,"ECO09022739",0,0,,
316,2009-12-05T06:45:00,"ECO09022739",0,0,,
317,2009-12-05T07:00:00,"ECO09022739",0,0,,
318,2009-12-05T07:15:00,"ECO09022739",1,0,,
319,2009-12-05T07:30:00,"ECO09022739",1,0,,
320,2009-12-05T07:45:00,"ECO09022739",1,0,,
321,2009-12-05T08:00:00,"ECO09022739",1,0,,
322,2009-12-05T08:15:00,"ECO09022739",7,0,,
323,2009-12-05T08:30:00,"ECO09022739",0,0,,
324,2009-12-05T08:45:00,"ECO09022739",0,0,,
325,2009-12-05T09:00:00,"ECO09022739",3,0,,
326,2009-12-05T09:15:00,"ECO09022739",4,0,,
327,2009-12-05T09:30:00,"ECO09022739",2,0,,
328,2009-12-05T09:45:00,"ECO09022739",2,0,,
329,2009-12-05T10:00:00,"ECO09022739",5,0,,
330,2009-12-05T10:15:00,"ECO09022739",4,1,,
331,2009-12-05T10:30:00,"ECO09022739",4,1,,
332,2009-12-05T10:45:00,"ECO09022739",8,0,,
333,2009-12-05T11:00:00,"ECO09022739",3,1,,
334,2009-12-05T11:15:00,"ECO09022739",3,1,,
335,2009-12-05T11:30:00,"ECO09022739",4,1,,
336,2009-12-05T11:45:00,"ECO09022739",2,1,,
337,2009-12-05T12:00:00,"ECO09022739",3,1,,
338,2009-12-05T12:15:00,"ECO09022739",8,1,,
339,2009-12-05T12:30:00,"ECO09022739",4,5,,
340,2009-12-05T12:45:00,"ECO09022739",1,1,,
341,2009-12-05T13:00:00,"ECO09022739",3,4,,
342,2009-12-05T13:15:00,"ECO09022739",4,3,,
343,2009-12-05T13:30:00,"ECO09022739",6,1,,
344,2009-12-05T13:45:00,"ECO09022739",5,2,,
345,2009-12-05T14:00:00,"ECO09022739",3,1,,
346,2009-12-05T14:15:00,"ECO09022739",1,2,,
347,2009-12-05T14:30:00,"ECO09022739",5,3,,
348,2009-12-05T14:45:00,"ECO09022739",4,2,,
349,2009-12-05T15:00:00,"ECO09022739",5,0,,
350,2009-12-05T15:15:00,"ECO09022739",7,2,,
351,2009-12-05T15:30:00,"ECO09022739",4,2,,
352,2009-12-05T15:45:00,"ECO09022739",3,3,,
353,2009-12-05T16:00:00,"ECO09022739",5,2,,
354,2009-12-05T16:15:00,"ECO09022739",3,3,,
355,2009-12-05T16:30:00,"ECO09022739",4,4,,
356,2009-12-05T16:45:00,"ECO09022739",5,6,,
357,2009-12-05T17:00:00,"ECO09022739",1,5,,
358,2009-12-05T17:15:00,"ECO09022739",8,6,,
359,2009-12-05T17:30:00,"ECO09022739",2,4,,
360,2009-12-05T17:45:00,"ECO09022739",2,4,,
361,2009-12-05T18:00:00,"ECO09022739",0,1,,
362,2009-12-05T18:15:00,"ECO09022739",4,2,,
363,2009-12-05T18:30:00,"ECO09022739",3,2,,
364,2009-12-05T18:45:00,"ECO09022739",0,3,,
365,2009-12-05T19:00:00,"ECO09022739",4,3,,
366,2009-12-05T19:15:00,"ECO09022739",2,7,,
367,2009-12-05T19:30:00,"ECO09022739",1,3,,
368,2009-12-05T19:45:00,"ECO09022739",2,2,,
369,2009-12-05T20:00:00,"ECO09022739",4,0,,
370,2009-12-05T20:15:00,"ECO09022739",0,1,,
371,2009-12-05T20:30:00,"ECO09022739",0,1,,
372,2009-12-05T20:45:00,"ECO09022739",1,1,,
373,2009-12-05T21:00:00,"ECO09022739",2,2,,
374,2009-12-05T21:15:00,"ECO09022739",1,1,,
375,2009-12-05T21:30:00,"ECO09022739",0,1,,
376,2009-12-05T21:45:00,"ECO09022739",1,1,,
377,2009-12-05T22:00:00,"ECO09022739",1,5,,
378,2009-12-05T22:15:00,"ECO09022739",2,0,,
379,2009-12-05T22:30:00,"ECO09022739",1,1,,
380,2009-12-05T22:45:00,"ECO09022739",1,2,,
381,2009-12-05T23:00:00,"ECO09022739",1,0,,
382,2009-12-05T23:15:00,"ECO09022739",1,2,,
383,2009-12-06T00:00:00,"ECO09022739",2,7,,
384,2009-12-06T00:15:00,"ECO09022739",1,0,,
385,2009-12-06T00:30:00,"ECO09022739",0,3,,
386,2009-12-06T00:45:00,"ECO09022739",0,1,,
387,2009-12-06T01:00:00,"ECO09022739",0,1,,
388,2009-12-06T01:15:00,"ECO09022739",0,1,,
389,2009-12-06T01:30:00,"ECO09022739",0,0,,
390,2009-12-06T01:45:00,"ECO09022739",0,0,,
391,2009-12-06T02:00:00,"ECO09022739",0,0,,
392,2009-12-06T02:15:00,"ECO09022739",1,1,,
393,2009-12-06T02:30:00,"ECO09022739",0,0,,
394,2009-12-06T02:45:00,"ECO09022739",0,0,,
395,2009-12-06T03:00:00,"ECO09022739",0,2,,
396,2009-12-06T03:15:00,"ECO09022739",1,0,,
397,2009-12-06T03:30:00,"ECO09022739",0,0,,
398,2009-12-06T03:45:00,"ECO09022739",0,0,,
