VOLUMEN,ANZAHL_GEBAEUDE,BAUJAHR,QUALITAET,SHAPE.AREA,SHAPE.LEN
16257,6,1980,0.94685366,9999.9500005,399.99900001500004
12359,8,1980,0.57286188,10000.000001,400.00000002
16927,3,1980,1,9999.9500005,399.99900001500004
40340,5,2000,0.71306396,10000.0500005,400.001000015
16662,8,1980,1,9999.9500005,399.99900001500004
47670,4,2000,0.7367317,9999.9500005,399.99900001500004
1997,3,1920,1,9999.95,399.999000005
15340,3,2000,0.96166884,9999.95,399.999000005
25797,9,2000,0.8445168000000001,9999.9,399.99800001
55951,18,2001,0.83188862,10000,400.00000001
11725,8,1960,0.61697228,10000.000001,400.00000002
6940,6,1960,1,9999.95,399.999000005
11557,12,1960,1,9999.95,399.999000005
33738,9,1960,1,10000.0500005,400.001000015
11665,16,1980,0.83189027,9999.999999,400.00000001
5875,4,1960,0.73957447,10000.0500005,400.001000015
2515,3,1980,1,10000,400.00000001
21654,13,1960,0.6027062,10000,400.00000001
13500,3,1960,1,10000.0500005,400.001000015
36043,7,2000,0.50855922,10000,400
23324,5,2000,0.60697136,10000,400
22277,6,2001,0.7700318700000001,9999.9,399.99800001
8453,9,1990,0.61954336,9999.9,399.99800001
14867,4,1980,0.58875362,9999.9,399.99800001
27245,12,2000,0.47289411000000003,9999.9500005,399.99900001500004
25591,9,1960,0.44511742,10000,400.00000001
7830,3,2001,1,9999.95,399.999000025
34714,7,2001,0.44633289,10000.150001,400.003000015
11835,5,1980,0.6365864,10000,400
15109,13,1960,0.93024025,10000,400.00000001
15399,10,1960,0.73797,9999.95,399.999000005
9198,4,1980,0.8330071800000001,10000,400.00000004
9766,10,1960,0.86125333,9999.95,399.999000005
4295,5,2000,0.61979045,9999.95,399.999000005
25185,5,1960,1,9999.8500005,399.99700002500003
21392,4,1960,1,9999.9,399.99800004
23564,3,1960,0.77257681,9999.9,399.99800001
47307,12,1990,0.59800875,9999.950001,399.999000045
45496,6,2001,0.93362054,9999.950001,399.999000045
66360,6,1980,0.8304701600000001,9999.950001,399.999000045
27729,12,1960,0.50816834,9999.95,399.999000025
39910,3,1980,1,9999.9,399.99800004
44973,4,1980,0.76412514,9999.900002,399.99800005
43637,9,1990,0.46382657,9999.95,399.99900001500004
17938,5,1960,0.80209611,10000,400.00000001
32062,6,1990,0.60819662,10000.100001,400.00200002
21605,9,1960,0.6116639700000001,10000.1,400.00200001
22677,8,1980,0.72628655,9999.95,399.99900001500004
16430,19,1960,0.66908095,9999.95,399.99900001500004
7668,4,1920,0.8530255600000001,9999.9500025,399.999000065
96450,7,1980,0.68605495,10000.0000005,400.00000003
28728,8,1980,0.48732943,10000.000001,400.00000002
60016,5,2001,0.6106704900000001,10000.0500015,400.001000035
16427,6,1980,0.82912279,10000.100001,400.00200002
40825,7,1960,1,9999.950001,399.999000045
24373,13,1960,0.52513027,10000.150001,400.003000015
18879,3,1960,1,10000.0500015,400.001000035
17175,10,1960,0.68995633,9999.9,399.99800001
18988,5,1960,0.77417316,9999.900002,399.99800005
88563,7,2001,0.87621241,9999.900002,399.99800005
23150,6,1960,1,9999.95,399.999000025
21020,5,1960,0.62607041,10000.150001,400.00300004499906
16858,6,1960,0.88610749,9999.900002,399.99800005
29701,6,1960,0.65523046,9999.95,399.999000025
19042,6,1980,0.53833631,10000.1,400.00200001
37114,7,1980,0.85760091,10000.1500005,400.003000015
15680,10,1960,1,9999.900002,399.99800005
78740,5,2001,0.70675641,9999.950001,399.999000045
26967,9,1990,0.4425038,10000.0500015,400.001000035
9285,10,1960,0.88206785,10000.1,400.002
83540,3,2001,0.69786928,9999.950001,399.999000045
39955,4,1960,1,9999.900001,399.99800003
88440,4,2000,1,10000.0500005,400.001000015
5946,10,1960,1,9999.9,399.99800001
32751,11,1960,0.34169949,10000,400.00000001
34572,12,1980,0.37443596,9999.900001,399.99800002
110757,9,1990,0.46442211,9999.95,399.99900001500004
31255,11,1960,0.37705967,9999.95,399.999000005
70020,3,1980,1,10000.149999,400.003000025
37651,14,1920,0.43122361000000003,10000,400.00000001
32593,6,2000,1,10000,400.00000001
56697,4,1980,1,9999.9500005,399.99900001500004
19155,6,1980,0.43539546,10000.050000000001,400.001000015
21570,3,1980,0.90398702,10000.1000005,400.00200001
42807,13,1990,0.63003714,10000.000002,400.00000005
57097,10,1990,0.45554057000000003,9999.900001,399.99800003
21610,4,1980,1,10000,400.00000001
23260,3,1980,1,9999.9500005,399.99900001500004
30479,10,1960,0.62728436,10000.0000005,400.00000003
21972,5,1980,0.8793464400000001,10000,400.00000001
11260,3,1960,1,9999.9500005,399.99900001500004
18475,5,2001,0.59317997,9999.9,399.99800001
16024,9,1960,0.47921867,10000,400.00000001
31546,9,1960,0.61484816,9999.9500005,399.99900001500004
106603,5,2001,0.98158588,10000.050000000001,400.001000025
25451,6,1960,1,9999.850001,399.997000015
21410,7,1960,1,10000.000001,400.00000002
15746,12,2000,0.54026419,10000.000001,400.00000002
